timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_exit_price,event_net_pnl,event_hold_bars,event_tp1_reduced,event_runner_active,event_current_pnl_ratio,event_rank
2025-10-06T12:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124382.2,124691.81,124368.15,124181.88983596084,123952.75821112902,123463.42458817242,NONE,NONE,ABOVE_ZERO,44.79741547591182,NONE,True,,,,,,,,,,,,,,,
2025-10-06T12:15:00,ETHUSDT,HOLD_POS,position_hold,LONG,LONG,4595.20248,4595.20248,0.08459444,0.08459444,4559.46933447,4561.13518386,4955.3856,4955.3856,False,False,-0.00215714,-0.00215714,4585.29,4595.43,4584.48,4575.6746922349585,4561.135183862005,4534.6215017990435,NONE,NONE,ABOVE_ZERO,0.6784821800332814,NONE,True,,,,,,,,,,,,False,False,-0.00215714,
2025-10-06T12:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124340.27,124471.64,124265.0,124210.6862294225,123977.75897170135,123463.42458817242,NONE,NONE,ABOVE_ZERO,38.6775963689183,NONE,False,,,,,,,,,,,,,,,
2025-10-06T12:30:00,ETHUSDT,HOLD_POS,position_hold,LONG,LONG,4595.20248,4595.20248,0.08459444,0.08459444,4561.13518386,4562.1567849,4955.3856,4955.3856,False,False,-0.00396772,-0.00396772,4576.97,4589.55,4574.69,4575.910202737693,4562.156784903166,4534.6215017990435,NONE,NONE,ABOVE_ZERO,0.11811228319959,NONE,False,,,,,,,,,,,,False,False,-0.00396772,
2025-10-06T12:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124556.64,124587.65,124325.96,124273.58691498204,124015.1061348174,123463.42458817242,NONE,NONE,ABOVE_ZERO,45.47907903682531,NONE,False,,,,,,,,,,,,,,,
2025-10-06T12:45:00,ETHUSDT,CLOSE,STOP_MACD,LONG,FLAT,4595.20248,,0.08459444,0.0,4562.1567849,,4955.3856,,False,False,-0.00302761,,4581.29,4581.92,4576.1,4576.888347694476,4563.391185877155,4534.6215017990435,NONE,DEAD,ABOVE_ZERO,-0.0521083405356908,NONE,False,,,,,,,,,4581.29,-1.48743064,6.0,False,False,-0.00302761,
2025-10-06T13:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124693.89,124814.0,124556.64,124350.00565771257,124058.89864224853,123533.95461474195,NONE,NONE,ABOVE_ZERO,54.869928787809584,UPPER,True,,,,,,,,,,,,,,,
2025-10-06T13:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4581.93,4590.0,4579.44,4577.805011750025,4564.58723840121,4537.632372650718,NONE,NONE,ABOVE_ZERO,-0.20359794936892683,NONE,False,,,,,,,,,,,,,,,
2025-10-06T13:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,124848.0,124924.05,124551.38,124440.550083583,124109.80840726476,123533.95461474195,NONE,NONE,ABOVE_ZERO,66.34236594571101,UPPER,True,,,,,,,,,,,,,,,
2025-10-06T13:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4590.89,4602.11,4577.47,4580.184100522748,4566.284190762422,4537.632372650718,NONE,GOLDEN,ABOVE_ZERO,0.19602101855090126,NONE,False,,,,,,,,,,,,,,,
